,precision,recall,f1-score
airplane,0.5692668165075518,0.5952,0.5784937890959508
automobile,0.7296460420113495,0.6872,0.7015018333375596
bird,0.4173308158408939,0.31,0.3486790629391177
cat,0.39867108110495725,0.24800000000000005,0.30292867786472943
deer,0.43228490280772214,0.4236,0.41944509123034396
dog,0.4822957287039218,0.5046,0.4854911663644649
frog,0.5864683820256003,0.7318,0.6430337800772354
horse,0.6275727790904035,0.6517999999999999,0.624083158654196
ship,0.6518387558270888,0.6890000000000001,0.6571003618101957
truck,0.6428314714609452,0.6714,0.6529911277202011
