,precision,recall,f1-score
airplane,0.752932550135949,0.7295999999999999,0.7365812434726038
automobile,0.8660028799160466,0.8161999999999999,0.8364559675526679
bird,0.680961497489866,0.5644,0.6144651669873641
cat,0.5399955919983419,0.5282,0.5256176861760515
deer,0.6581291429308109,0.6724,0.6577654918576658
dog,0.6646789083692612,0.5813999999999999,0.6048623222624474
frog,0.7645822254821328,0.7884000000000001,0.7643068847675268
horse,0.8042300193333147,0.7405999999999999,0.769848986905001
ship,0.8139428576419295,0.8582000000000001,0.831377997692187
truck,0.733303720528016,0.883,0.7973229959208428
