,precision,recall,f1-score
airplane,0.6124998911988985,0.7238,0.6597395748000073
automobile,0.8570849878212684,0.7534,0.7942462789945534
bird,0.5507092852576273,0.433,0.4803115370971026
cat,0.472153488482725,0.34900000000000003,0.37166053604140803
deer,0.5882032819124141,0.49640000000000006,0.5209448217792803
dog,0.5226513466546076,0.5873999999999999,0.5058038838077445
frog,0.7206356486446165,0.6828,0.7004781788880725
horse,0.6286931519995729,0.7246,0.6636246411801089
ship,0.8124898570278191,0.7264,0.7583064885642271
truck,0.7442491062226205,0.8311999999999999,0.783264691299024
