,precision,recall,f1-score
airplane,0.5767975274709609,0.5122000000000001,0.5263911906223244
automobile,0.5266548540927527,0.5742,0.5474262723832728
bird,0.43706268506911067,0.3276,0.3672536280255287
cat,0.38329628761709866,0.2866,0.30543913419310253
deer,0.4301642118561169,0.42379999999999995,0.41245598086614094
dog,0.4740089491605913,0.418,0.43437680559615205
frog,0.5303352871630913,0.5883999999999999,0.5491073095270165
horse,0.4674188037890351,0.5342,0.48335163251921226
ship,0.52624412237055,0.6823999999999999,0.586966223109948
truck,0.5875195088289953,0.4476,0.49687167228851925
