,precision,recall,f1-score
airplane,0.6721422361054762,0.6916,0.6753136615174595
automobile,0.765727319875318,0.8,0.7795258842637273
bird,0.5844976587264614,0.45420000000000005,0.4955807670946181
cat,0.4682007669448355,0.41659999999999997,0.4357445191432864
deer,0.6059571155965717,0.5226,0.5603238301491789
dog,0.49457692757977034,0.6138000000000001,0.5422683196446589
frog,0.7375403762176843,0.7032,0.7049738442392609
horse,0.6956718177210575,0.7096,0.6953863055081564
ship,0.7365765892493672,0.8131999999999999,0.7680911449677713
truck,0.7943129111985441,0.7024,0.742757462339297
